date,fii_net_idx,dii_net_idx,cl_net_idx,pr_net_idx,fii_net_stk,dii_net_stk,pcr_idx,pcr_stk,fii_pcr,dii_pcr,cl_pcr,fii_ls,dii_ls,cl_ls,pr_ls,dii_hedge,fii_opt_net,fii_dii_div,total_oi,fii_tl,fii_ts,dii_tl,dii_ts,fii_call_l,fii_put_l,dii_call_l,dii_put_l
2025-11-21,-169847,59897,76244,33706,1264523,-4421597,1.0102,0.6036,1.2112,8.7404,0.8707,1.3849,0.0751,1.3186,1.0702,8.7404,-123524,-229744,22180043,5172527,3734965,368942,4911007,584976,708500,2381,20811
2025-11-24,-161697,42108,77362,42227,1349164,-4462135,0.7985,0.6123,1.0357,8.8278,0.6625,1.3727,0.0734,1.3037,1.0842,8.8278,-25699,-203805,22825086,5321618,3876779,363410,4947808,719953,745652,2381,21019
2025-11-25,-94689,42501,60088,-7900,1329621,-4437551,0.9686,0.7348,1.7039,11.9918,0.7096,1.4887,0.0581,1.505,1.2823,11.9918,-203729,-137190,14345785,4385498,2945799,269744,4642806,289447,493176,1950,23384
2025-11-26,-90747,42724,57268,-9245,1362991,-4458459,1.419,0.7518,1.4385,13.8431,1.3931,1.4503,0.0603,1.375,1.223,13.8431,-174714,-133471,16932446,4620485,3185822,281712,4672558,398437,573151,1950,26994
2025-11-27,-87263,42952,57165,-12854,1329167,-4452432,1.1634,0.7268,1.2835,13.9969,1.1207,1.4424,0.0621,1.3185,1.2246,13.9969,-127337,-130215,18154062,4695007,3254922,291281,4688336,449150,576487,1950,27294
2025-11-28,-87596,43062,55707,-11173,1326808,-4477414,1.1481,0.7087,1.3976,13.9969,1.05,1.4292,0.0621,1.3019,1.1842,13.9969,-194969,-130658,19309631,4861766,3401640,293271,4719442,490310,685279,1950,27294
2025-12-01,-87170,41950,58048,-12828,1319803,-4429381,0.9094,0.7001,1.2941,13.9969,0.7897,1.4131,0.064,1.2847,1.1387,13.9969,-161838,-129120,20600071,4975570,3521055,300582,4696684,550277,712115,1950,27294
2025-12-02,-99859,34831,75400,-10372,1371746,-4503760,0.951,0.6863,1.491,9.2522,0.7031,1.4654,0.0623,1.3971,1.1994,9.2522,-181126,-134690,17133225,4660150,3180139,298743,4792695,368902,550028,2950,27294
2025-12-03,-113469,25603,92580,-4714,1334349,-4509634,0.8727,0.6493,1.319,8.8895,0.7002,1.4352,0.0618,1.352,1.175,8.8895,-153063,-139072,18757295,4851046,3380150,299528,4848098,479820,632883,2950,26224
2025-12-04,-122530,25996,91256,5278,1353172,-4516484,0.9292,0.6483,1.3594,8.8895,0.7625,1.419,0.0603,1.3271,1.1847,8.8895,-176837,-148526,19438793,4910940,3460768,293276,4863009,492007,668844,2950,26224
2025-12-05,-121302,34968,86080,254,1371873,-4534291,1.1974,0.6473,1.4084,9.6014,1.1247,1.4044,0.0616,1.3039,1.1645,9.6014,-219336,-156270,20660766,5092149,3625843,301716,4898627,537053,756389,2950,28324
2025-12-08,-138529,35235,88522,14772,1353798,-4523702,0.6663,0.6131,1.1093,8.5459,0.5474,1.3618,0.0634,1.3203,1.0692,8.5459,-72863,-173764,22700769,5231993,3841918,313214,4943503,666672,739535,2975,25424
2025-12-09,-142498,35811,92082,14605,1374909,-4553103,0.8696,0.6027,1.4388,8.6488,0.6385,1.4285,0.063,1.4423,1.0908,8.6488,-185463,-178309,18743424,4872577,3410928,315342,5004840,422696,608159,2950,25514
2025-12-10,-148339,35060,94460,18819,1358306,-4539344,0.7408,0.5868,1.235,8.3776,0.55,1.4009,0.0622,1.4065,1.05,8.3776,-123686,-183399,20455384,5018453,3582364,311497,5005312,526432,650118,2950,24714
2025-12-11,-146984,35364,96067,15553,1401348,-4558059,0.9291,0.6018,1.2633,8.1878,0.8231,1.3946,0.0626,1.367,1.0799,8.1878,-138867,-182348,21011884,5062384,3629982,315890,5044989,527492,666359,2950,24154
2025-12-12,-150416,43137,99276,8003,1409192,-4555116,1.116,0.6132,1.2993,8.1878,1.0468,1.3962,0.0649,1.3482,1.0648,8.1878,-167939,-193553,21906785,5186412,3714615,328969,5065746,561157,729096,2950,24154
2025-12-15,-147925,43089,100877,3959,1375843,-4544721,1.1508,0.6065,1.2756,8.1878,1.0898,1.3626,0.0668,1.3512,1.0233,8.1878,-164862,-191014,23119750,5252906,3854934,338465,5067892,598241,763103,2950,24154
2025-12-16,-156845,44175,103542,9128,1329617,-4532097,0.8763,0.5889,1.4089,8.2393,0.6792,1.3899,0.0678,1.4743,1.0246,8.2393,-170831,-201020,19617669,4869996,3503765,343100,5059646,417734,588565,2950,24306
